cc_num|acct_num|trans_num|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
4379006548708470|386831851262|56a5bcce8624516e74e11de68943f691|1563727568|gas_transport|70.82|0|Watts-Harris|36.852282|-79.605825
4379006548708470|386831851262|5a9a3f8eb577775a9fe9c6594d9f2f24|1554075005|gas_transport|60.84|0|Ferguson, Turner and Wilson|37.886491|-78.965399
4379006548708470|386831851262|5255b69138b7040b8126b7375c0938c9|1551377103|gas_transport|47.58|0|Lucero, Hopkins and Hamilton|37.933907|-78.055451
4379006548708470|386831851262|951ec04dfdd7f44af81b390a9e0f58b1|1548960789|gas_transport|46.75|0|Johnson Inc|37.692286|-78.691388
4379006548708470|386831851262|bbdadbac0a614aad393a249a222d2936|1565995626|grocery_net|76.61|0|Ramirez, Burns and Leblanc|36.738468|-78.607819
4379006548708470|386831851262|acf0398fe53ceec8cbc48c3b84217e76|1558627949|gas_transport|67.27|0|Blanchard, Perez and Rodriguez|36.613056|-78.123933
4379006548708470|386831851262|ee878bcd40069f9619dd9ca8989c52c8|1555021712|gas_transport|52.11|0|Harris, Meyer and Sullivan|37.214479|-78.093445
4379006548708470|386831851262|1f6eda3f1bcbf95b418401684c3f803f|1560385030|gas_transport|59.27|0|Hunt-Wallace|36.886304|-79.336954
4379006548708470|386831851262|1667ce9b7254a21841945e9968bdec63|1569769266|grocery_pos|34.35|0|Davidson, Potts and Cannon|38.085547|-79.685275
4379006548708470|386831851262|e6c126524e0d801b715c2146246fa7ef|1556807853|gas_transport|40.06|0|Wong PLC|38.148732|-79.774511
4379006548708470|386831851262|9ddce3bc42aa763f7634d41c488dafe4|1568214883|grocery_net|48.56|0|Hernandez Group|37.86168|-80.023466
4379006548708470|386831851262|6f33b608f84796e08bd4de9cfeab49c1|1565381302|grocery_net|81.51|0|Meza, Lang and Woodard|37.611796|-79.37259
4379006548708470|386831851262|d291ca8c9efd43dbcf2bcec4151b67e8|1561835336|gas_transport|50.49|0|Anderson-Henderson|38.221887|-79.630454
4379006548708470|386831851262|a2214eb59d9938d95236910b2e51f861|1560550462|gas_transport|54.15|0|Cole PLC|37.664978|-79.251247
4379006548708470|386831851262|7dd99beddde171fe3ecd1ee2a84acc8a|1546976776|gas_transport|42.88|0|Rivas, Griffin and Stewart|37.428003|-78.680929
4379006548708470|386831851262|e4ddd13e8e411368828af54da9e8f9db|1550240587|gas_transport|49.13|0|Edwards LLC|37.642659|-79.052585
4379006548708470|386831851262|c4acb692a7fb40efe0d14b81fa174576|1572106549|grocery_pos|59.6|0|Garcia-Cooper|38.110963|-78.210206
4379006548708470|386831851262|a3c2c6d72a6dc6bf2d7a59395e1b291c|1549741143|gas_transport|45.72|0|Bowman Inc|37.006013|-78.228715
4379006548708470|386831851262|1f8a79d6890e2fbd2f42e6b94538f793|1566250639|grocery_net|74.79|0|Hale-Ross|38.094474|-79.748208
4379006548708470|386831851262|4f3c766dc19fc2bf9c02a2a10b5f757c|1562357301|gas_transport|53.8|0|Ferguson-York|37.120839|-79.372237
4379006548708470|386831851262|0432dfde2180c6920ec46e7a474b1973|1558637131|gas_transport|63.72|0|Conrad, Welch and Cardenas|38.232093|-78.8996
4379006548708470|386831851262|76fadcbb8a0c7f01de43a6d43a347b12|1557268166|gas_transport|71.41|0|Adams-Ferguson|37.119968|-78.4325
4379006548708470|386831851262|f3b9fc039f6ba15bf70e2e1e7f03ab93|1558114391|gas_transport|93.47|0|Stone, Murphy and Young|36.998537|-78.242266
4379006548708470|386831851262|092fbfef4918a8d7995f38a061e14ae1|1551716538|gas_transport|51.56|0|Butler, Brown and Cabrera|37.385586|-78.552087
4379006548708470|386831851262|81b98e553525755ced2166ae47c03941|1565104208|grocery_net|70.16|0|Taylor, Moore and Martinez|37.453611|-79.367256
4379006548708470|386831851262|c1747d9a439ee71f06fc7b42b3a0ee9f|1569597836|grocery_net|52.37|0|Wright Ltd|37.836863|-78.896802
4379006548708470|386831851262|2ceb485c1882494e480ad8a171e2fda7|1555684540|gas_transport|53.73|0|Curry PLC|37.087918|-78.449153
4379006548708470|386831851262|4508f06cf3200fd44d042079782e1128|1563480936|gas_transport|72.59|0|Hicks, Norman and Coleman|36.735423|-79.696466
4379006548708470|386831851262|38e1b03c7cdd76cb7e46d41539cf3f8a|1548794846|gas_transport|33.03|0|Edwards-Chavez|38.506361|-79.585357
4379006548708470|386831851262|f7162276beded2d51334960e4b666b29|1570557027|grocery_pos|72.92|0|Chase PLC|37.374882|-78.261185
